01	Academic year	Use with code 01 in <ReligiousTextFeatureType>
02	Catechistic year	Use with code 01 in <ReligiousTextFeatureType>
03	Liturgical year	Use with code 01 in <ReligiousTextFeatureType>
04	Advent and Christmas	Use with code 01 in <ReligiousTextFeatureType>
05	Blessings	Use with code 01 in <ReligiousTextFeatureType>
06	Scholastic cycles	Use with code 01 in <ReligiousTextFeatureType>
07	Confirmation and Holy Communion	Use with code 01 in <ReligiousTextFeatureType>
08	Summer activites	For example, summer camps and other youth recreational activities: use with code 01 in <ReligiousTextFeatureType>
09	Easter	Use with code 01 in <ReligiousTextFeatureType>
10	Lent	Use with code 01 in <ReligiousTextFeatureType>
11	Marian themes	Use with code 01 in <ReligiousTextFeatureType>
